2 1852 1 2 
7 250 1 8 
7 5665 1 5 
5 3813 5 4 
3 392 5 2 
2 6703 4 6 
2 5949 1 5 
5 2760 3 2 
1 3677 3 2 
1 6103 4 6 
6 1493 5 8 
4 1139 3 8 
6 6707 5 9 
4 6065 2 6 
4 4610 3 9 
2 6526 4 4 
2 2359 2 8 
5 2049 5 9 
2 610 3 7 
1 7198 2 7 
5 259 5 9 
1 6815 3 7 
2 3838 4 4 
5 3612 5 9 
1 6072 3 5 
6 3364 5 8 
7 3711 1 9 
4 5202 1 3 
4 6379 2 2 
7 2872 3 2 
7 4969 5 9 
2 6899 1 6 
6 4422 3 9 
7 3939 1 6 
1 4041 4 9 
5 2701 4 7 
7 6615 2 6 
7 4366 3 3 
5 3789 1 5 
6 849 4 7 
4 6215 4 5 
7 4897 3 6 
6 4616 3 6 
6 7882 1 4 
3 7530 5 6 
7 3347 1 8 
2 4634 5 6 
2 4737 5 4 
2 148 4 7 
4 2089 5 8 
2 727 3 8 
3 1404 4 2 
3 3159 3 7 
4 6080 5 6 
2 663 5 5 
2 6863 2 5 
6 3151 5 9 
6 7521 1 5 
3 1405 1 8 
3 4126 5 3 
2 2216 2 8 
5 3253 1 2 
3 5079 5 6 
7 906 1 9 
6 5635 1 4 
5 794 5 4 
5 613 5 3 
6 1133 4 3 
5 7267 4 4 
3 4596 3 2 
6 2656 1 3 
6 6803 3 5 
1 2081 5 6 
5 1015 1 6 
4 5348 4 3 
2 3794 2 2 
1 7615 1 4 
4 4272 5 8 
6 6672 4 4 
1 2885 2 8 
